UserID,Gender,City,Device,Subscription,EducationLevel,Satisfaction,PaymentMode,PurchaseCategory,Target_Buy
U0001,Male,Delhi,Android,Free,UG,Low,UPI,Electronics,No
U0002,Female,Mumbai,iOS,Basic,PG,High,Card,Fashion,Yes
U0003,Male,Pune,Laptop,Pro,Diploma,Medium,UPI,Grocery,Yes
U0004,Female,Hyderabad,Android,Premium,UG,VeryHigh,NetBanking,Electronics,Yes
U0005,Male,Kolkata,Android,Basic,School,Low,COD,Food,No
U0006,Female,Chennai,iOS,Pro,UG,High,UPI,Beauty,Yes
U0007,Male,Bangalore,Laptop,Free,UG,Medium,Card,Books,No
U0008,Female,Ahmedabad,Android,Premium,PG,VeryHigh,UPI,Electronics,Yes
U0009,Male,Jaipur,Android,Basic,Diploma,Low,COD,Fashion,No
U0010,Female,Lucknow,iOS,Pro,PG,High,Card,Beauty,Yes
U0011,Male,Delhi,Android,Free,School,VeryLow,COD,Grocery,No
U0012,Female,Mumbai,Laptop,Premium,UG,High,NetBanking,Electronics,Yes
U0013,Male,Pune,Android,Basic,UG,Medium,UPI,Food,Yes
U0014,Female,Hyderabad,iOS,Pro,PG,VeryHigh,Card,Fashion,Yes
U0015,Male,Kolkata,Android,Free,Diploma,Low,COD,Books,No
U0016,Female,Chennai,Android,Premium,UG,High,UPI,Electronics,Yes
U0017,Male,Bangalore,Laptop,Pro,UG,Medium,Card,Grocery,Yes
U0018,Female,Ahmedabad,iOS,Basic,School,Low,COD,Food,No
U0019,Male,Jaipur,Android,Free,UG,VeryLow,UPI,Fashion,No
U0020,Female,Lucknow,Android,Pro,PG,High,NetBanking,Beauty,Yes
U0021,Male,Delhi,iOS,Basic,UG,Medium,Card,Electronics,Yes
U0022,Female,Mumbai,Android,Premium,PG,VeryHigh,UPI,Food,Yes
U0023,Male,Pune,Laptop,Free,School,Low,COD,Books,No
U0024,Female,Hyderabad,Android,Pro,UG,High,Card,Fashion,Yes
U0025,Male,Kolkata,Android,Basic,Diploma,Medium,UPI,Grocery,Yes
U0026,Female,Chennai,iOS,Premium,PG,VeryHigh,NetBanking,Electronics,Yes
U0027,Male,Bangalore,Android,Free,UG,Low,COD,Beauty,No
U0028,Female,Ahmedabad,Laptop,Pro,UG,High,UPI,Books,Yes
U0029,Male,Jaipur,Android,Basic,School,VeryLow,COD,Food,No
U0030,Female,Lucknow,iOS,Premium,PG,VeryHigh,Card,Electronics,Yes
U0031,Male,Delhi,Android,Pro,UG,High,UPI,Fashion,Yes
U0032,Female,Mumbai,Android,Basic,Diploma,Medium,COD,Grocery,No
U0033,Male,Pune,iOS,Free,School,Low,COD,Books,No
U0034,Female,Hyderabad,Laptop,Premium,PG,VeryHigh,UPI,Beauty,Yes
U0035,Male,Kolkata,Android,Pro,UG,High,Card,Electronics,Yes
U0036,Female,Chennai,Android,Basic,UG,Medium,UPI,Food,Yes
U0037,Male,Bangalore,iOS,Free,Diploma,Low,COD,Fashion,No
U0038,Female,Ahmedabad,Android,Premium,PG,VeryHigh,NetBanking,Electronics,Yes
U0039,Male,Jaipur,Laptop,Pro,UG,High,Card,Books,Yes
U0040,Female,Lucknow,Android,Basic,School,Low,COD,Food,No
U0041,Male,Delhi,iOS,Premium,PG,VeryHigh,UPI,Beauty,Yes
U0042,Female,Mumbai,Android,Pro,UG,High,Card,Electronics,Yes
U0043,Male,Pune,Android,Free,School,VeryLow,COD,Grocery,No
U0044,Female,Hyderabad,iOS,Basic,Diploma,Medium,UPI,Fashion,Yes
U0045,Male,Kolkata,Laptop,Pro,UG,High,NetBanking,Electronics,Yes
U0046,Female,Chennai,Android,Premium,PG,VeryHigh,Card,Beauty,Yes
U0047,Male,Bangalore,Android,Basic,UG,Medium,UPI,Food,Yes
U0048,Female,Ahmedabad,iOS,Free,School,Low,COD,Books,No
U0049,Male,Jaipur,Android,Premium,UG,High,Card,Electronics,Yes
U0050,Female,Lucknow,Laptop,Pro,PG,VeryHigh,UPI,Fashion,Yes
